gamma,c_dt,c_dt_half,c_richardson,A_num,c_pi2,c_pi2_over_4,E_pi2,E_pi2_over_4
50,1.58537667203094,1.590766425050592,1.596156178070244,6.180395156662922,1.3550932163336347,1.8387733040834087,0.24106296173660935,0.24261712601316465
100,1.642917994622364,1.648839224305788,1.6547604539892122,7.321699586628064,1.5346192912693108,1.8836548228173278,0.12014116271990138,0.22889436882811554
200,1.6929825036479407,1.699441868924825,1.7059012342017092,8.255989643474644,1.648420286528346,1.9121050716320864,0.057480947673363314,0.20620383743037718
500,1.7476711994283192,1.7547382274166037,1.7618052554048882,9.19940350835173,1.7444521378545899,1.9361130344636475,0.017353117550298336,0.17430777905875927
1000,1.7812748042735813,1.7887453075900992,1.796215810906617,9.723987063896214,1.793164129453027,1.9482910323632567,0.003051681453590138,0.15207522145663965
3000,1.8233951227343477,1.8313710525349147,1.8393469823354818,10.298167147684332,1.8460326281899053,1.9615081570474764,0.00668564585442355,0.12216117471199461
5000,1.8391905075369948,1.847354404276856,1.855518301016717,10.48107518678986,1.8639474303209322,1.965986857580233,0.008429129304215133,0.11046855656351595
8000,1.851979541652096,1.8602956893362093,1.8686118370203224,10.612183386842247,1.8778056179086506,1.9694514044771627,0.009193780888328229,0.1008395674568403
10000,1.8575327649313886,1.8659162015337742,1.8742996381361599,10.663208176837522,1.8836548228173278,1.970913705704332,0.009355184681167916,0.09661406756817215
